"X","Number.of.Homicide.Convictions","Percentage.of.Homicide.Convictions","Number.of.Homicide.Unsuccessful","Percentage.of.Homicide.Unsuccessful","Number.of.Offences.Against.The.Person.Convictions","Percentage.of.Offences.Against.The.Person.Convictions","Number.of.Offences.Against.The.Person.Unsuccessful","Percentage.of.Offences.Against.The.Person.Unsuccessful","Number.of.Sexual.Offences.Convictions","Percentage.of.Sexual.Offences.Convictions","Number.of.Sexual.Offences.Unsuccessful","Percentage.of.Sexual.Offences.Unsuccessful","Number.of.Burglary.Convictions","Percentage.of.Burglary.Convictions","Number.of.Burglary.Unsuccessful","Percentage.of.Burglary.Unsuccessful","Number.of.Robbery.Convictions","Percentage.of.Robbery.Convictions","Number.of.Robbery.Unsuccessful","Percentage.of.Robbery.Unsuccessful","Number.of.Theft.And.Handling.Convictions","Percentage.of.Theft.And.Handling.Convictions","Number.of.Theft.And.Handling.Unsuccessful","Percentage.of.Theft.And.Handling.Unsuccessful","Number.of.Fraud.And.Forgery.Convictions","Percentage.of.Fraud.And.Forgery.Convictions","Number.of.Fraud.And.Forgery.Unsuccessful","Percentage.of.Fraud.And.Forgery.Unsuccessful","Number.of.Criminal.Damage.Convictions","Percentage.of.Criminal.Damage.Convictions","Number.of.Criminal.Damage.Unsuccessful","Percentage.of.Criminal.Damage.Unsuccessful","Number.of.Drugs.Offences.Convictions","Percentage.of.Drugs.Offences.Convictions","Number.of.Drugs.Offences.Unsuccessful","Percentage.of.Drugs.Offences.Unsuccessful","Number.of.Public.Order.Offences.Convictions","Percentage.of.Public.Order.Offences.Convictions","Number.of.Public.Order.Offences.Unsuccessful","Percentage.of.Public.Order.Offences.Unsuccessful","Number.of.All.Other.Offences..excluding.Motoring..Convictions","Percentage.of.All.Other.Offences..excluding.Motoring..Convictions","Number.of.All.Other.Offences..excluding.Motoring..Unsuccessful","Percentage.of.All.Other.Offences..excluding.Motoring..Unsuccessful","Number.of.Motoring.Offences.Convictions","Percentage.of.Motoring.Offences.Convictions","Number.of.Motoring.Offences.Unsuccessful","Percentage.of.Motoring.Offences.Unsuccessful","Number.of.Admin.Finalised.Unsuccessful","Percentage.of.L.Motoring.Offences.Unsuccessful","year","month"
"Wiltshire",0,"-",0,"-","100","89.3%","12","10.7%","11","78.6%",3,"21.4%","5","55.6%",4,"44.4%",1,"100.0%",0,"0.0%","69","95.8%","3","4.2%","9","90.0%",1,"10.0%","20","95.2%",1,"4.8%","39","90.7%",4,"9.3%","46","88.5%",6,"11.5%","6","100.0%",0,"0.0%","67","89.3%","8","10.7%","4","100.0%","2016","august"
"National",125,"83.3%",25,"16.7%","9,015","78.0%","2,543","22.0%","992","75.8%",317,"24.2%","1,040","85.3%",179,"14.7%",284,"75.7%",91,"24.3%","6,707","92.7%","526","7.3%","762","86.9%",115,"13.1%","1,596","84.0%",303,"16.0%","3,608","93.4%",254,"6.6%","2,766","85.3%",478,"14.7%","635","87.6%",90,"12.4%","6,656","86.1%","1,077","13.9%","937","100.0%","2016","december"
"Avon and Somerset",6,"75.0%",2,"25.0%","299","81.0%","70","19.0%","37","71.2%",15,"28.8%","30","71.4%",12,"28.6%",9,"100.0%",0,"0.0%","205","93.2%","15","6.8%","9","60.0%",6,"40.0%","40","78.4%",11,"21.6%","81","94.2%",5,"5.8%","74","81.3%",17,"18.7%","16","76.2%",5,"23.8%","164","89.6%","19","10.4%","30","100.0%","2016","december"
"Bedfordshire",1,"100.0%",0,"0.0%","70","69.3%","31","30.7%","3","75.0%",1,"25.0%","5","100.0%",0,"0.0%",4,"66.7%",2,"33.3%","58","80.6%","14","19.4%","8","100.0%",0,"0.0%","18","94.7%",1,"5.3%","30","100.0%",0,"0.0%","19","95.0%",1,"5.0%","4","66.7%",2,"33.3%","95","79.8%","24","20.2%","22","100.0%","2016","december"
"Cambridgeshire",1,"100.0%",0,"0.0%","96","85.7%","16","14.3%","6","85.7%",1,"14.3%","22","100.0%",0,"0.0%",1,"100.0%",0,"0.0%","114","92.7%","9","7.3%","10","90.9%",1,"9.1%","11","73.3%",4,"26.7%","34","97.1%",1,"2.9%","23","82.1%",5,"17.9%","3","100.0%",0,"0.0%","105","91.3%","10","8.7%","13","100.0%","2016","december"
"Cheshire",1,"50.0%",1,"50.0%","192","75.6%","62","24.4%","20","74.1%",7,"25.9%","9","100.0%",0,"0.0%",3,"100.0%",0,"0.0%","169","98.3%","3","1.7%","12","100.0%",0,"0.0%","29","87.9%",4,"12.1%","73","98.6%",1,"1.4%","71","93.4%",5,"6.6%","13","92.9%",1,"7.1%","172","92.0%","15","8.0%","11","100.0%","2016","december"
"Cleveland",4,"100.0%",0,"0.0%","124","81.0%","29","19.0%","6","100.0%",0,"0.0%","40","88.9%",5,"11.1%",3,"75.0%",1,"25.0%","200","95.7%","9","4.3%","29","93.5%",2,"6.5%","24","75.0%",8,"25.0%","65","92.9%",5,"7.1%","49","84.5%",9,"15.5%","14","93.3%",1,"6.7%","85","89.5%","10","10.5%","11","100.0%","2016","december"
"Cumbria",2,"100.0%",0,"0.0%","97","94.2%","6","5.8%","5","100.0%",0,"0.0%","6","85.7%",1,"14.3%",4,"100.0%",0,"0.0%","83","97.6%","2","2.4%","5","100.0%",0,"0.0%","25","92.6%",2,"7.4%","35","97.2%",1,"2.8%","46","90.2%",5,"9.8%","5","100.0%",0,"0.0%","90","92.8%","7","7.2%","1","100.0%","2016","december"
"Derbyshire",1,"100.0%",0,"0.0%","112","74.7%","38","25.3%","11","100.0%",0,"0.0%","14","82.4%",3,"17.6%",2,"50.0%",2,"50.0%","128","96.2%","5","3.8%","4","66.7%",2,"33.3%","34","87.2%",5,"12.8%","45","97.8%",1,"2.2%","41","89.1%",5,"10.9%","7","100.0%",0,"0.0%","69","87.3%","10","12.7%","11","100.0%","2016","december"
"Devon and Cornwall",5,"100.0%",0,"0.0%","183","78.9%","49","21.1%","12","85.7%",2,"14.3%","21","91.3%",2,"8.7%",1,"50.0%",1,"50.0%","145","97.3%","4","2.7%","10","100.0%",0,"0.0%","35","87.5%",5,"12.5%","82","96.5%",3,"3.5%","67","90.5%",7,"9.5%","18","90.0%",2,"10.0%","173","89.6%","20","10.4%","9","100.0%","2016","december"
"Dorset",0,"-",0,"-","117","90.7%","12","9.3%","9","90.0%",1,"10.0%","11","78.6%",3,"21.4%",5,"100.0%",0,"0.0%","77","98.7%","1","1.3%","5","71.4%",2,"28.6%","19","95.0%",1,"5.0%","41","95.3%",2,"4.7%","28","84.8%",5,"15.2%","3","100.0%",0,"0.0%","86","94.5%","5","5.5%","7","100.0%","2016","december"
"Durham",1,"100.0%",0,"0.0%","88","82.2%","19","17.8%","4","100.0%",0,"0.0%","17","85.0%",3,"15.0%",0,"0",0,"0","105","93.8%","7","6.3%","6","100.0%",0,"0.0%","23","76.7%",7,"23.3%","13","92.9%",1,"7.1%","21","75.0%",7,"25.0%","5","100.0%",0,"0.0%","100","92.6%","8","7.4%","4","100.0%","2016","december"
"Dyfed Powys",1,"50.0%",1,"50.0%","69","80.2%","17","19.8%","3","75.0%",1,"25.0%","7","77.8%",2,"22.2%",1,"100.0%",0,"0.0%","21","95.5%","1","4.5%","1","100.0%",0,"0.0%","14","100.0%",0,"0.0%","38","97.4%",1,"2.6%","16","84.2%",3,"15.8%","4","100.0%",0,"0.0%","69","84.1%","13","15.9%","6","100.0%","2016","december"
"Essex",6,"85.7%",1,"14.3%","238","80.4%","58","19.6%","41","85.4%",7,"14.6%","35","83.3%",7,"16.7%",6,"75.0%",2,"25.0%","173","92.0%","15","8.0%","16","84.2%",3,"15.8%","33","86.8%",5,"13.2%","82","96.5%",3,"3.5%","42","87.5%",6,"12.5%","15","78.9%",4,"21.1%","163","84.5%","30","15.5%","11","100.0%","2016","december"
"Gloucestershire",3,"100.0%",0,"0.0%","63","82.9%","13","17.1%","2","100.0%",0,"0.0%","11","91.7%",1,"8.3%",3,"75.0%",1,"25.0%","46","93.9%","3","6.1%","5","100.0%",0,"0.0%","8","72.7%",3,"27.3%","23","92.0%",2,"8.0%","7","70.0%",3,"30.0%","4","100.0%",0,"0.0%","55","96.5%","2","3.5%","10","100.0%","2016","december"
"GreaterManchester",6,"100.0%",0,"0.0%","474","80.6%","114","19.4%","85","77.3%",25,"22.7%","58","93.5%",4,"6.5%",31,"86.1%",5,"13.9%","231","95.1%","12","4.9%","26","96.3%",1,"3.7%","84","91.3%",8,"8.7%","147","94.8%",8,"5.2%","100","89.3%",12,"10.7%","42","89.4%",5,"10.6%","284","81.4%","65","18.6%","23","100.0%","2016","december"
"Gwent",1,"100.0%",0,"0.0%","105","81.4%","24","18.6%","11","84.6%",2,"15.4%","16","88.9%",2,"11.1%",0,"0",0,"0","76","97.4%","2","2.6%","6","100.0%",0,"0.0%","21","84.0%",4,"16.0%","33","91.7%",3,"8.3%","36","92.3%",3,"7.7%","4","100.0%",0,"0.0%","87","85.3%","15","14.7%","1","100.0%","2016","december"
"Hampshire",4,"100.0%",0,"0.0%","196","85.2%","34","14.8%","26","81.3%",6,"18.8%","30","100.0%",0,"0.0%",2,"100.0%",0,"0.0%","185","94.9%","10","5.1%","18","81.8%",4,"18.2%","36","92.3%",3,"7.7%","88","97.8%",2,"2.2%","56","81.2%",13,"18.8%","15","93.8%",1,"6.3%","175","95.1%","9","4.9%","19","100.0%","2016","december"
"Hertfordshire",5,"100.0%",0,"0.0%","144","81.8%","32","18.2%","9","90.0%",1,"10.0%","7","77.8%",2,"22.2%",2,"100.0%",0,"0.0%","128","92.8%","10","7.2%","17","81.0%",4,"19.0%","24","85.7%",4,"14.3%","67","97.1%",2,"2.9%","32","82.1%",7,"17.9%","12","85.7%",2,"14.3%","121","83.4%","24","16.6%","20","100.0%","2016","december"
"Humberside",1,"100.0%",0,"0.0%","201","84.5%","37","15.5%","25","75.8%",8,"24.2%","39","86.7%",6,"13.3%",7,"87.5%",1,"12.5%","141","92.2%","12","7.8%","10","100.0%",0,"0.0%","40","87.0%",6,"13.0%","53","89.8%",6,"10.2%","71","84.5%",13,"15.5%","13","100.0%",0,"0.0%","101","91.8%","9","8.2%","4","100.0%","2016","december"
"Kent",7,"77.8%",2,"22.2%","243","76.9%","73","23.1%","21","75.0%",7,"25.0%","23","95.8%",1,"4.2%",4,"100.0%",0,"0.0%","134","84.8%","24","15.2%","23","88.5%",3,"11.5%","32","91.4%",3,"8.6%","85","95.5%",4,"4.5%","59","86.8%",9,"13.2%","25","80.6%",6,"19.4%","125","88.0%","17","12.0%","18","100.0%","2016","december"
"Lancashire",2,"100.0%",0,"0.0%","215","77.3%","63","22.7%","15","100.0%",0,"0.0%","44","95.7%",2,"4.3%",6,"100.0%",0,"0.0%","204","95.3%","10","4.7%","14","93.3%",1,"6.7%","49","80.3%",12,"19.7%","64","94.1%",4,"5.9%","98","93.3%",7,"6.7%","15","78.9%",4,"21.1%","201","86.3%","32","13.7%","16","100.0%","2016","december"
"Leicestershire",3,"100.0%",0,"0.0%","135","81.8%","30","18.2%","23","79.3%",6,"20.7%","13","76.5%",4,"23.5%",2,"50.0%",2,"50.0%","82","94.3%","5","5.7%","9","90.0%",1,"10.0%","29","87.9%",4,"12.1%","21","100.0%",0,"0.0%","36","94.7%",2,"5.3%","4","100.0%",0,"0.0%","107","81.7%","24","18.3%","11","100.0%","2016","december"
"Lincolnshire",2,"100.0%",0,"0.0%","132","81.0%","31","19.0%","9","100.0%",0,"0.0%","24","92.3%",2,"7.7%",5,"83.3%",1,"16.7%","97","90.7%","10","9.3%","12","75.0%",4,"25.0%","19","90.5%",2,"9.5%","21","95.5%",1,"4.5%","36","90.0%",4,"10.0%","11","73.3%",4,"26.7%","106","78.5%","29","21.5%","17","100.0%","2016","december"
"Merseyside",2,"100.0%",0,"0.0%","310","84.0%","59","16.0%","20","71.4%",8,"28.6%","16","100.0%",0,"0.0%",6,"100.0%",0,"0.0%","163","92.1%","14","7.9%","10","100.0%",0,"0.0%","40","80.0%",10,"20.0%","167","96.0%",7,"4.0%","58","95.1%",3,"4.9%","15","78.9%",4,"21.1%","210","88.6%","27","11.4%","19","100.0%","2016","december"
"Metropolitan and City",20,"74.1%",7,"25.9%","1,461","69.6%","637","30.4%","152","68.8%",69,"31.2%","166","80.2%",41,"19.8%",62,"66.7%",31,"33.3%","880","87.2%","129","12.8%","247","85.5%",42,"14.5%","216","75.3%",71,"24.7%","973","90.4%",103,"9.6%","442","77.3%",130,"22.7%","96","82.8%",20,"17.2%","950","81.8%","211","18.2%","267","100.0%","2016","december"
"Norfolk",0,"-",0,"-","146","82.5%","31","17.5%","9","81.8%",2,"18.2%","17","100.0%",0,"0.0%",2,"100.0%",0,"0.0%","125","94.7%","7","5.3%","5","100.0%",0,"0.0%","16","80.0%",4,"20.0%","54","98.2%",1,"1.8%","75","93.8%",5,"6.3%","12","100.0%",0,"0.0%","141","96.6%","5","3.4%","14","100.0%","2016","december"
"Northamptonshire",1,"50.0%",1,"50.0%","77","73.3%","28","26.7%","4","100.0%",0,"0.0%","7","100.0%",0,"0.0%",5,"83.3%",1,"16.7%","69","93.2%","5","6.8%","3","75.0%",1,"25.0%","22","81.5%",5,"18.5%","25","92.6%",2,"7.4%","24","88.9%",3,"11.1%","4","100.0%",0,"0.0%","65","85.5%","11","14.5%","19","100.0%","2016","december"
"Northumbria",6,"75.0%",2,"25.0%","240","74.1%","84","25.9%","34","60.7%",22,"39.3%","42","75.0%",14,"25.0%",2,"25.0%",6,"75.0%","278","88.0%","38","12.0%","22","75.9%",7,"24.1%","57","78.1%",16,"21.9%","62","84.9%",11,"15.1%","131","81.4%",30,"18.6%","20","90.9%",2,"9.1%","183","64.0%","103","36.0%","27","100.0%","2016","december"
"North Wales",0,"-",0,"-","125","81.7%","28","18.3%","23","76.7%",7,"23.3%","9","90.0%",1,"10.0%",2,"100.0%",0,"0.0%","108","99.1%","1","0.9%","11","100.0%",0,"0.0%","32","88.9%",4,"11.1%","27","96.4%",1,"3.6%","45","88.2%",6,"11.8%","11","100.0%",0,"0.0%","97","89.8%","11","10.2%","8","100.0%","2016","december"
"North Yorkshire",1,"100.0%",0,"0.0%","107","78.7%","29","21.3%","4","66.7%",2,"33.3%","5","71.4%",2,"28.6%",1,"100.0%",0,"0.0%","120","94.5%","7","5.5%","5","55.6%",4,"44.4%","40","90.9%",4,"9.1%","29","96.7%",1,"3.3%","35","85.4%",6,"14.6%","14","87.5%",2,"12.5%","119","90.8%","12","9.2%","4","100.0%","2016","december"
"Nottinghamshire",5,"83.3%",1,"16.7%","212","74.6%","72","25.4%","46","79.3%",12,"20.7%","24","85.7%",4,"14.3%",4,"80.0%",1,"20.0%","147","87.5%","21","12.5%","12","100.0%",0,"0.0%","43","78.2%",12,"21.8%","111","94.1%",7,"5.9%","80","86.0%",13,"14.0%","24","96.0%",1,"4.0%","139","86.9%","21","13.1%","44","100.0%","2016","december"
"South Wales",6,"100.0%",0,"0.0%","317","80.7%","76","19.3%","26","83.9%",5,"16.1%","27","93.1%",2,"6.9%",4,"66.7%",2,"33.3%","214","95.5%","10","4.5%","19","90.5%",2,"9.5%","53","85.5%",9,"14.5%","138","95.8%",6,"4.2%","117","87.3%",17,"12.7%","9","75.0%",3,"25.0%","206","92.0%","18","8.0%","17","100.0%","2016","december"
"South Yorkshire",3,"75.0%",1,"25.0%","212","74.6%","72","25.4%","12","92.3%",1,"7.7%","20","80.0%",5,"20.0%",7,"77.8%",2,"22.2%","196","96.1%","8","3.9%","13","100.0%",0,"0.0%","50","79.4%",13,"20.6%","69","90.8%",7,"9.2%","78","89.7%",9,"10.3%","9","100.0%",0,"0.0%","158","85.4%","27","14.6%","20","100.0%","2016","december"
"Staffordshire",0,"-",0,"-","175","80.6%","42","19.4%","23","82.1%",5,"17.9%","28","87.5%",4,"12.5%",3,"100.0%",0,"0.0%","160","93.6%","11","6.4%","7","87.5%",1,"12.5%","32","78.0%",9,"22.0%","52","86.7%",8,"13.3%","64","84.2%",12,"15.8%","12","92.3%",1,"7.7%","146","88.0%","20","12.0%","8","100.0%","2016","december"
"Suffolk",1,"50.0%",1,"50.0%","106","87.6%","15","12.4%","7","100.0%",0,"0.0%","6","85.7%",1,"14.3%",2,"100.0%",0,"0.0%","52","100.0%","0","0.0%","2","100.0%",0,"0.0%","22","91.7%",2,"8.3%","35","89.7%",4,"10.3%","33","86.8%",5,"13.2%","7","100.0%",0,"0.0%","96","95.0%","5","5.0%","11","100.0%","2016","december"
"Surrey",0,"-",0,"-","95","74.2%","33","25.8%","16","76.2%",5,"23.8%","4","80.0%",1,"20.0%",3,"100.0%",0,"0.0%","56","98.2%","1","1.8%","7","77.8%",2,"22.2%","15","83.3%",3,"16.7%","28","87.5%",4,"12.5%","20","87.0%",3,"13.0%","6","85.7%",1,"14.3%","93","95.9%","4","4.1%","11","100.0%","2016","december"
"Sussex",0,"-",0,"-","196","85.2%","34","14.8%","21","77.8%",6,"22.2%","21","100.0%",0,"0.0%",8,"80.0%",2,"20.0%","94","96.9%","3","3.1%","9","81.8%",2,"18.2%","28","90.3%",3,"9.7%","67","95.7%",3,"4.3%","51","92.7%",4,"7.3%","18","94.7%",1,"5.3%","182","91.9%","16","8.1%","16","100.0%","2016","december"
"Thames Valley",3,"100.0%",0,"0.0%","295","74.9%","99","25.1%","44","75.9%",14,"24.1%","31","81.6%",7,"18.4%",12,"63.2%",7,"36.8%","216","95.6%","10","4.4%","31","96.9%",1,"3.1%","47","92.2%",4,"7.8%","114","91.9%",10,"8.1%","74","70.5%",31,"29.5%","22","88.0%",3,"12.0%","233","85.3%","40","14.7%","40","100.0%","2016","december"
"Warwickshire",1,"100.0%",0,"0.0%","60","78.9%","16","21.1%","13","100.0%",0,"0.0%","6","75.0%",2,"25.0%",0,"0",0,"0","81","96.4%","3","3.6%","8","80.0%",2,"20.0%","12","92.3%",1,"7.7%","16","100.0%",0,"0.0%","30","93.8%",2,"6.3%","1","50.0%",1,"50.0%","59","81.9%","13","18.1%","3","100.0%","2016","december"
"West Mercia",1,"100.0%",0,"0.0%","204","84.3%","38","15.7%","24","68.6%",11,"31.4%","6","54.5%",5,"45.5%",2,"66.7%",1,"33.3%","149","95.5%","7","4.5%","11","84.6%",2,"15.4%","29","82.9%",6,"17.1%","57","96.6%",2,"3.4%","53","86.9%",8,"13.1%","11","84.6%",2,"15.4%","199","85.4%","34","14.6%","12","100.0%","2016","december"
"West Midlands",6,"66.7%",3,"33.3%","587","77.2%","173","22.8%","64","68.8%",29,"31.2%","62","89.9%",7,"10.1%",39,"79.6%",10,"20.4%","504","91.1%","49","8.9%","50","87.7%",7,"12.3%","101","91.0%",10,"9.0%","206","94.1%",13,"5.9%","203","87.9%",28,"12.1%","54","88.5%",7,"11.5%","309","85.6%","52","14.4%","80","100.0%","2016","december"
"West Yorkshire",6,"75.0%",2,"25.0%","413","79.3%","108","20.7%","59","71.1%",24,"28.9%","57","74.0%",20,"26.0%",16,"61.5%",10,"38.5%","232","93.2%","17","6.8%","25","75.8%",8,"24.2%","77","86.5%",12,"13.5%","129","95.6%",6,"4.4%","108","90.0%",12,"10.0%","34","87.2%",5,"12.8%","270","85.4%","46","14.6%","37","100.0%","2016","december"
"Wiltshire",0,"-",0,"-","84","88.4%","11","11.6%","8","61.5%",5,"38.5%","4","80.0%",1,"20.0%",3,"100.0%",0,"0.0%","61","96.8%","2","3.2%","10","100.0%",0,"0.0%","17","85.0%",3,"15.0%","28","93.3%",2,"6.7%","17","85.0%",3,"15.0%","4","100.0%",0,"0.0%","68","94.4%","4","5.6%","5","100.0%","2016","december"
"National",88,"81.5%",20,"18.5%","11,741","78.3%","3,262","21.7%","971","72.6%",367,"27.4%","1,371","85.0%",242,"15.0%",419,"78.6%",114,"21.4%","8,276","91.6%","757","8.4%","1,027","85.7%",171,"14.3%","2,166","85.4%",369,"14.6%","4,457","93.6%",303,"6.4%","3,597","83.3%",722,"16.7%","710","85.0%",125,"15.0%","7,962","84.1%","1,509","15.9%","963","100.0%","2016","january"
"Avon and Somerset",6,"100.0%",0,"0.0%","348","76.8%","105","23.2%","50","65.8%",26,"34.2%","37","86.0%",6,"14.0%",10,"100.0%",0,"0.0%","203","88.6%","26","11.4%","18","81.8%",4,"18.2%","55","83.3%",11,"16.7%","127","95.5%",6,"4.5%","63","78.8%",17,"21.3%","9","75.0%",3,"25.0%","220","73.8%","78","26.2%","151","100.0%","2016","january"
"Bedfordshire",1,"100.0%",0,"0.0%","180","79.3%","47","20.7%","14","93.3%",1,"6.7%","21","91.3%",2,"8.7%",7,"58.3%",5,"41.7%","151","95.6%","7","4.4%","5","83.3%",1,"16.7%","42","91.3%",4,"8.7%","44","95.7%",2,"4.3%","42","76.4%",13,"23.6%","3","75.0%",1,"25.0%","137","82.5%","29","17.5%","9","100.0%","2016","january"
"Cambridgeshire",3,"60.0%",2,"40.0%","132","83.0%","27","17.0%","11","84.6%",2,"15.4%","26","83.9%",5,"16.1%",7,"77.8%",2,"22.2%","72","94.7%","4","5.3%","10","90.9%",1,"9.1%","11","84.6%",2,"15.4%","34","97.1%",1,"2.9%","33","91.7%",3,"8.3%","4","100.0%",0,"0.0%","92","86.8%","14","13.2%","17","100.0%","2016","january"
"Cheshire",2,"100.0%",0,"0.0%","302","83.7%","59","16.3%","27","71.1%",11,"28.9%","21","87.5%",3,"12.5%",3,"50.0%",3,"50.0%","162","97.6%","4","2.4%","11","100.0%",0,"0.0%","43","91.5%",4,"8.5%","112","97.4%",3,"2.6%","131","95.6%",6,"4.4%","4","100.0%",0,"0.0%","186","93.5%","13","6.5%","6","100.0%","2016","january"
"Cleveland",2,"100.0%",0,"0.0%","148","82.2%","32","17.8%","9","81.8%",2,"18.2%","34","87.2%",5,"12.8%",4,"100.0%",0,"0.0%","248","94.7%","14","5.3%","6","100.0%",0,"0.0%","46","88.5%",6,"11.5%","62","89.9%",7,"10.1%","56","86.2%",9,"13.8%","13","92.9%",1,"7.1%","99","92.5%","8","7.5%","4","100.0%","2016","january"
"Cumbria",0,"-",0,"-","106","86.2%","17","13.8%","4","100.0%",0,"0.0%","4","100.0%",0,"0.0%",0,"0",0,"0","79","98.8%","1","1.3%","3","60.0%",2,"40.0%","16","94.1%",1,"5.9%","37","92.5%",3,"7.5%","45","93.8%",3,"6.3%","4","36.4%",7,"63.6%","78","89.7%","9","10.3%","3","100.0%","2016","january"
"Derbyshire",0,"0.0%",1,"100.0%","213","76.1%","67","23.9%","9","100.0%",0,"0.0%","22","81.5%",5,"18.5%",6,"85.7%",1,"14.3%","129","91.5%","12","8.5%","14","87.5%",2,"12.5%","50","76.9%",15,"23.1%","64","91.4%",6,"8.6%","56","81.2%",13,"18.8%","9","81.8%",2,"18.2%","132","93.0%","10","7.0%","18","100.0%","2016","january"
"Devon and Cornwall",4,"100.0%",0,"0.0%","234","71.6%","93","28.4%","16","84.2%",3,"15.8%","33","80.5%",8,"19.5%",5,"100.0%",0,"0.0%","137","90.1%","15","9.9%","19","76.0%",6,"24.0%","41","91.1%",4,"8.9%","76","93.8%",5,"6.2%","70","85.4%",12,"14.6%","7","87.5%",1,"12.5%","180","87.4%","26","12.6%","21","100.0%","2016","january"
"Dorset",0,"-",0,"-","142","79.8%","36","20.2%","9","75.0%",3,"25.0%","17","94.4%",1,"5.6%",0,"0",0,"0","88","97.8%","2","2.2%","10","100.0%",0,"0.0%","21","95.5%",1,"4.5%","37","94.9%",2,"5.1%","44","91.7%",4,"8.3%","5","100.0%",0,"0.0%","71","95.9%","3","4.1%","8","100.0%","2016","january"
"Durham",2,"66.7%",1,"33.3%","162","79.8%","41","20.2%","5","100.0%",0,"0.0%","24","96.0%",1,"4.0%",3,"60.0%",2,"40.0%","131","91.6%","12","8.4%","13","92.9%",1,"7.1%","29","82.9%",6,"17.1%","28","93.3%",2,"6.7%","30","83.3%",6,"16.7%","6","66.7%",3,"33.3%","88","94.6%","5","5.4%","4","100.0%","2016","january"
"Dyfed Powys",0,"-",0,"-","70","85.4%","12","14.6%","6","60.0%",4,"40.0%","3","60.0%",2,"40.0%",0,"0",0,"0","39","97.5%","1","2.5%","0","0",0,"0","14","73.7%",5,"26.3%","58","98.3%",1,"1.7%","27","84.4%",5,"15.6%","8","100.0%",0,"0.0%","81","87.1%","12","12.9%","2","100.0%","2016","january"
"Essex",6,"100.0%",0,"0.0%","321","78.5%","88","21.5%","35","59.3%",24,"40.7%","37","86.0%",6,"14.0%",12,"75.0%",4,"25.0%","168","94.4%","10","5.6%","30","96.8%",1,"3.2%","55","85.9%",9,"14.1%","82","95.3%",4,"4.7%","57","82.6%",12,"17.4%","17","94.4%",1,"5.6%","202","75.1%","67","24.9%","19","100.0%","2016","january"
"Gloucestershire",0,"-",0,"-","115","78.2%","32","21.8%","1","50.0%",1,"50.0%","19","95.0%",1,"5.0%",8,"88.9%",1,"11.1%","97","98.0%","2","2.0%","7","70.0%",3,"30.0%","18","85.7%",3,"14.3%","37","100.0%",0,"0.0%","21","87.5%",3,"12.5%","3","60.0%",2,"40.0%","75","94.9%","4","5.1%","31","100.0%","2016","january"
"GreaterManchester",3,"75.0%",1,"25.0%","687","85.2%","119","14.8%","75","75.8%",24,"24.2%","85","88.5%",11,"11.5%",34,"91.9%",3,"8.1%","347","93.8%","23","6.2%","49","96.1%",2,"3.9%","122","90.4%",13,"9.6%","127","92.0%",11,"8.0%","155","86.6%",24,"13.4%","38","76.0%",12,"24.0%","463","87.4%","67","12.6%","42","100.0%","2016","january"
"Gwent",1,"100.0%",0,"0.0%","75","77.3%","22","22.7%","9","64.3%",5,"35.7%","9","90.0%",1,"10.0%",2,"100.0%",0,"0.0%","65","94.2%","4","5.8%","4","100.0%",0,"0.0%","15","75.0%",5,"25.0%","49","100.0%",0,"0.0%","17","77.3%",5,"22.7%","2","66.7%",1,"33.3%","97","89.0%","12","11.0%","3","100.0%","2016","january"
"Hampshire",1,"100.0%",0,"0.0%","253","81.9%","56","18.1%","24","72.7%",9,"27.3%","33","89.2%",4,"10.8%",4,"100.0%",0,"0.0%","193","91.9%","17","8.1%","23","88.5%",3,"11.5%","55","91.7%",5,"8.3%","77","95.1%",4,"4.9%","82","92.1%",7,"7.9%","13","92.9%",1,"7.1%","228","89.4%","27","10.6%","25","100.0%","2016","january"
"Hertfordshire",1,"100.0%",0,"0.0%","332","77.6%","96","22.4%","16","72.7%",6,"27.3%","25","96.2%",1,"3.8%",7,"87.5%",1,"12.5%","246","92.8%","19","7.2%","45","81.8%",10,"18.2%","48","88.9%",6,"11.1%","130","94.9%",7,"5.1%","70","79.5%",18,"20.5%","12","92.3%",1,"7.7%","239","86.3%","38","13.7%","13","100.0%","2016","january"
"Humberside",1,"100.0%",0,"0.0%","157","81.8%","35","18.2%","24","68.6%",11,"31.4%","33","94.3%",2,"5.7%",7,"87.5%",1,"12.5%","164","97.0%","5","3.0%","9","90.0%",1,"10.0%","55","93.2%",4,"6.8%","67","91.8%",6,"8.2%","57","85.1%",10,"14.9%","9","81.8%",2,"18.2%","130","86.7%","20","13.3%","4","100.0%","2016","january"
"Kent",7,"100.0%",0,"0.0%","273","80.8%","65","19.2%","25","75.8%",8,"24.2%","37","77.1%",11,"22.9%",18,"90.0%",2,"10.0%","177","84.3%","33","15.7%","46","82.1%",10,"17.9%","48","82.8%",10,"17.2%","103","93.6%",7,"6.4%","59","90.8%",6,"9.2%","30","96.8%",1,"3.2%","176","86.7%","27","13.3%","22","100.0%","2016","january"
"Lancashire",0,"-",0,"-","309","81.7%","69","18.3%","15","83.3%",3,"16.7%","54","90.0%",6,"10.0%",14,"87.5%",2,"12.5%","304","93.8%","20","6.2%","17","100.0%",0,"0.0%","69","90.8%",7,"9.2%","99","96.1%",4,"3.9%","158","79.0%",42,"21.0%","24","92.3%",2,"7.7%","274","83.8%","53","16.2%","5","100.0%","2016","january"
